2021-07-10 20:59:43,055 Epoch 0
2021-07-10 21:00:52,698 Epoch 0
2021-07-10 21:01:34,227 Epoch 0
2021-07-10 21:02:43,521 Epoch 0
2021-07-10 21:13:49,941 Epoch 0
2021-07-10 21:14:10,328 Epoch 0
2021-07-10 21:15:57,372 Epoch 0
2021-07-10 21:32:29,598 22 Loss: 0.17009170353412628, Acc: 0.9759673649584487, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.34574784549929205
2021-07-10 21:32:30,276 23 Loss: 0.2989085018634796, Acc: 0.9562846260387812, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.5506811033885819
2021-07-10 21:32:30,960 24 Loss: 0.22833853960037231, Acc: 0.9645299515235457, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.5358888287797364
2021-07-10 21:32:31,647 25 Loss: 0.2620418965816498, Acc: 0.9459725588642659, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.5893833650949678
2021-07-10 21:32:32,339 26 Loss: 0.19546447694301605, Acc: 0.974755453601108, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.5074275645750501
2021-07-10 21:32:33,001 27 Loss: 0.30602118372917175, Acc: 0.9186829120498615, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.6638972338985747
2021-07-10 21:32:33,670 28 Loss: 0.2656669616699219, Acc: 0.9670403393351801, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.3962272898690924
2021-07-10 21:32:34,342 29 Loss: 0.2771582305431366, Acc: 0.9612404778393352, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.41705366757440054
2021-07-10 21:32:35,008 30 Loss: 0.22694189846515656, Acc: 0.9720394736842105, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.30639973685313376
2021-07-10 21:32:35,701 31 Loss: 0.23992589116096497, Acc: 0.9629501385041551, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.2641167245921717
2021-07-10 21:32:36,366 32 Loss: 0.41172581911087036, Acc: 0.9100913261772853, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.6093650725268127
2021-07-10 21:32:37,030 33 Loss: 0.3032001256942749, Acc: 0.9228055747922438, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.746717116814259
2021-07-10 21:32:37,709 34 Loss: 0.19862979650497437, Acc: 0.9567823753462604, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.5208648228274193
2021-07-10 21:32:38,398 35 Loss: 0.21505126357078552, Acc: 0.9498463469529086, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.4619622873128647
2021-07-10 21:32:39,091 36 Loss: 0.23092828691005707, Acc: 0.9539906509695291, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.3743497830285754
2021-07-10 21:32:39,749 37 Loss: 0.26524659991264343, Acc: 0.927501731301939, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.6896221503430627
2021-07-10 21:32:40,420 38 Loss: 0.2883507311344147, Acc: 0.9296875, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.42185468670833765
2021-07-10 21:32:41,061 39 Loss: 0.19977332651615143, Acc: 0.9592494806094183, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.4738324049387775
2021-07-10 21:32:41,707 40 Loss: 0.21606937050819397, Acc: 0.9544018351800554, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.43941851608111837
2021-07-10 21:32:42,386 41 Loss: 0.20098550617694855, Acc: 0.9593252250692521, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.4045344108482109
2021-07-10 21:32:43,040 42 Loss: 0.1716306209564209, Acc: 0.9647896468144044, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.3707737300668588
2021-07-10 21:32:43,710 43 Loss: 0.15764255821704865, Acc: 0.9682414300554016, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.38257637403137956
2021-07-10 21:32:44,374 44 Loss: 0.15272952616214752, Acc: 0.9665858725761773, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.7042016649619404
2021-07-10 21:32:45,029 45 Loss: 0.21035313606262207, Acc: 0.9574748961218836, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.3766555112382753
2021-07-10 21:32:45,658 46 Loss: 0.16454681754112244, Acc: 0.9682630713296398, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.2859981434663971
2021-07-10 21:32:46,333 47 Loss: 0.05644671991467476, Acc: 0.9922632444598338, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.19236818840312803
2021-07-10 21:32:46,974 48 Loss: 0.3645983040332794, Acc: 0.9186829120498615, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.6690502255599596
2021-07-10 21:32:47,621 49 Loss: 0.26550307869911194, Acc: 0.9336803150969529, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.7843243187814773
2021-07-10 21:32:48,254 50 Loss: 0.1807679980993271, Acc: 0.9612621191135734, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.4143823415365103
2021-07-10 21:32:48,934 51 Loss: 0.27109938859939575, Acc: 0.9264088469529086, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.5598558611232396
2021-07-10 21:32:49,591 52 Loss: 0.23827503621578217, Acc: 0.9520212950138505, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.3949096689078579
2021-07-10 21:32:50,227 53 Loss: 0.24853745102882385, Acc: 0.9453990650969529, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.5241082215302858
2021-07-10 21:32:50,900 54 Loss: 0.1945972591638565, Acc: 0.9634587084487535, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.8240045603517118
2021-07-10 21:32:51,558 55 Loss: 0.1780172735452652, Acc: 0.9627229051246537, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.6332000060227384
2021-07-10 21:32:52,197 56 Loss: 0.21065224707126617, Acc: 0.9497273199445984, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.3323868109871754
2021-07-10 21:32:52,853 57 Loss: 0.23288187384605408, Acc: 0.9389066828254847, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.6646354826426808
2021-07-10 21:32:53,529 58 Loss: 0.1884050816297531, Acc: 0.954455938365651, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.6752989764570377
2021-07-10 21:32:54,189 59 Loss: 0.1128990575671196, Acc: 0.9760755713296398, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.8643993926994423
2021-07-10 21:32:54,842 60 Loss: 0.23500365018844604, Acc: 0.943505453601108, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.8455402830864108
2021-07-10 21:32:55,524 61 Loss: 0.21074874699115753, Acc: 0.9489806959833795, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.5606487036843818
2021-07-10 21:32:56,193 62 Loss: 0.15357160568237305, Acc: 0.9639239958448753, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.7349867232723052
2021-07-10 21:32:56,858 63 Loss: 0.1618202030658722, Acc: 0.964941135734072, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.6081370056661428
2021-07-10 21:32:57,509 64 Loss: 0.20944063365459442, Acc: 0.9531682825484764, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.23015150048027924
2021-07-10 21:32:58,198 65 Loss: 0.15888796746730804, Acc: 0.9573558691135734, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.9444067127743715
2021-07-10 21:32:58,856 66 Loss: 0.1828632652759552, Acc: 0.953698493767313, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.6676199431527787
2021-07-10 21:32:59,496 67 Loss: 0.28466475009918213, Acc: 0.9237469702216067, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.5903481586625248
2021-07-10 21:33:00,152 68 Loss: 0.2386179119348526, Acc: 0.9410599896121884, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.41232087844742543
2021-07-10 21:33:00,830 69 Loss: 0.13334950804710388, Acc: 0.9669645948753463, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.7646300183393223
2021-07-10 21:33:01,490 70 Loss: 0.18494471907615662, Acc: 0.9492728531855956, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.9047138941692411
2021-07-10 21:33:02,171 71 Loss: 0.16339893639087677, Acc: 0.9597472299168975, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.6342437388528268
2021-07-10 21:33:02,836 72 Loss: 0.21692875027656555, Acc: 0.940075311634349, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.9063753269997319
2021-07-10 21:33:03,473 73 Loss: 0.2771342992782593, Acc: 0.9212582236842105, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.8756705714054945
2021-07-10 21:33:04,143 74 Loss: 0.10368029773235321, Acc: 0.9765192174515236, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.8938152434548844
2021-07-10 21:33:04,830 75 Loss: 0.1980469822883606, Acc: 0.9419039993074793, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.9069300016540092
2021-07-10 21:33:05,484 76 Loss: 0.11450345069169998, Acc: 0.9737383137119113, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.7404909599741721
2021-07-10 21:33:06,122 77 Loss: 0.18574337661266327, Acc: 0.9544018351800554, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.6044480287929483
2021-07-10 21:33:06,770 78 Loss: 0.23887833952903748, Acc: 0.9308669494459834, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.8827906330055558
2021-07-10 21:33:07,417 79 Loss: 0.236561119556427, Acc: 0.9357686980609419, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.8823347357942007
2021-07-10 21:33:08,083 80 Loss: 0.16942015290260315, Acc: 0.9547805574792244, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.7456280044024118
2021-07-10 21:33:08,726 81 Loss: 0.16388055682182312, Acc: 0.9629284972299169, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.905449909528262
2021-07-10 21:33:09,379 82 Loss: 0.240122988820076, Acc: 0.9421420533240997, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.319909069836233
2021-07-10 21:33:10,050 83 Loss: 0.08215153962373734, Acc: 0.9830007790858726, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.7780833807375893
2021-07-10 21:33:10,712 84 Loss: 0.13619941473007202, Acc: 0.9663153566481995, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.9226250305489845
2021-07-10 21:33:11,375 85 Loss: 0.20348511636257172, Acc: 0.9486993594182825, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.9076371919432897
2021-07-10 21:33:12,054 86 Loss: 0.208171546459198, Acc: 0.9506903566481995, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.6240344717851593
2021-07-10 21:33:12,732 87 Loss: 0.049352217465639114, Acc: 0.9877293975069252, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.9364592473420063
2021-07-10 21:33:13,398 88 Loss: 0.14032210409641266, Acc: 0.9618680747922438, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.9095058416357811
